track_name,track_artist,lyrics,track_album_release_date,playlist_genre
She's Always a Woman,Billy Joel,"She can kill with a smile, she can wound with her eyes She can ruin your faith with her casual lies And she only reveals what she wants you to see She hides like a child but she's always a woman to me She can lead you to love, she can take you or leave you She can ask for the truth but she'll never believe you And she'll take what you give her as long as it's free Yeah she steals like a thief but she's always a woman to me Oh, she takes care of herself, she can wait if she wants She's ahead of her time Oh, and she never gives out and she never gives in She just changes her mind And she'll promise you more than the Garden of Eden Then she'll carelessly cut you and laugh while you're bleeding But she'll bring out the best and the worst you can be Blame it all on yourself cause she's always a woman to me Mmm Mmm Oh, she takes care of herself, she can wait if she wants She's ahead of her time Oh, and she never gives out and she never gives in She just changes her mind She is frequently kind and she's suddenly cruel She can do as she pleases, she's nobody's fool But she can't be convicted, she's earned her degree And the most she will do is throw shadows at you But she's always a woman to me Mmm Mmm",1977,rock
Two Tickets To Paradise,Eddie Money,"Got a surprise especially for you Something that both of us have always wanted to do We've waited so long, waited so long We've waited so long, waited so long I'm gonna take you on a trip so far from here I've got two tickets in my pocket, now baby, we're gonna disappear We've waited so long, waited so long We've waited so long, waited so long I've got two tickets to paradise Won't you pack your bags, we'll leave tonight I've got two tickets to paradise I've got two tickets to paradise I'm gonna take you on a trip so far from here I've got two tickets in my pocket, now baby, we're gonna disappear We've waited so long, waited so long We've waited so long, waited so long I've got two tickets to paradise Won't you pack your bags, we'll leave tonight I've got two tickets to paradise Won't you pack your bags, we'll leave tonight I've got two tickets to paradise Won't you pack your bags, we'll leave tonight I've got two tickets to paradise I've got two tickets to paradise",1977,rock
Take Me Home Tonight,Eddie Money,"Ohhh.. Yeah.. I feel a hunger, it's a hunger That tries to keep a man awake at night Are you the answer? I shouldn't wonder When I can feel you whet my appetite With all the power you're releasing It isn't safe to walk the city streets alone Anticipation is running through me Let's find the keys and turn this engine on I can feel you breathe I can feel your heart beat faster (Faster) Take me home tonight I don't want to let you go 'til you see the light Take me home tonight Listen, honey, just like Ronnie sang Be my little baby, oh, ho, oh I get frightened in all this darkness I get nightmares I hate to sleep alone I need some company a guardian angel To keep me warm when the cold winds blow I can feel you breathe I can feel your heart beat faster (Faster) Take me home tonight I don't want to let you go 'til you see the light Take me home tonight Listen, honey , just like Ronnie sang Be my little baby Be my little baby, uh-huh Just like Ronnie sang I said Just like Ronnie sang Be my little baby Baby, my darlin', uh, uh, oh, oh, oh I feel a hunger It's a hunger Take me home tonight I don't want to let you go 'til you see the light Take me home tonight Listen, honey, just like Ronnie sang Be my little baby, oh, ho, oh Take me home tonight I don't want to let you go 'til you see the light Take me home tonight Listen, honey, just like Ronnie sang Be my little baby, oh, ho, oh Take me home tonight I don't want to let you go 'til you see the light Take me home tonight Listen, honey, just like Ronnie sang Be my little baby, oh, ho, oh",1977,rock
Over And Over,Sylvester,"Over and over, time and time again You can't be nobody's lover You can't be nobody's lover Til you're somebody's friend Over and over, time and time again Over and over and over, time and time again You can't be nobody's lover You can't be nobody's lover Til you're somebody's friend, ah baby I love you (well, well...), to me you're a shining star First you gotta find out (yeah, yeah, yeah) Just who you really are And you can't be nobody's lover You can't be nobody's lover Til you're somebody's friend You can't be (nobody's lover) Nobody's lover (be nobody's lover) Til you're somebody's friend (Well, well, well, well...) Over and over, time and time again Over and over, well, time and time again You can't be nobody's lover Nobody's lover (be nobody's lover) Til you're somebody's friend And you can't be nobody's lover Nobody's lover (be nobody's lover) Til you're... (somebody's friend) somebody's friend (Be nobody's lover, be nobody's lover Somebody's friend, yeah) (Be nobody's lover, be nobody's lover Somebody's friend Be nobody's lover, be nobody's lover Somebody's friend) Do-do-do-do, do-do-do-do Do-do-do-do, do-do-do-do Do-do-do-do, do-do-do-do Do-do-do-do, do-do-do-do... Find yourself a friend Go out and find yourself a friend Go out and find yourself a friend You're my friend, you're my friend Go out and find yourself a friend Go out and find yourself a friend You're my friend, you're my friend Remember, you can't be nobody's lover Until you're somebody's friend, woo-hoo Find yourself a friend, find yourself a friend Find yourself a friend Makes no difference what shape you're in Makes no difference what shape you're in Be nobody's lover, be nobody's lover Somebody's friend Be nobody's lover, be nobody's lover Somebody's friend Be nobody's lover, be nobody's lover Somebody's friend...",1977,edm
I Was Only Joking,Rod Stewart,"Ever since I was a kid in school I messed around with all the rules Apologized, then realized I'm not different after all Me and the boys thought we had it sussed Valentino's all of us My dad said we looked ridiculous But, boy, we broke some hearts In and out of jobs, running free Waging war with society Dumb, blank faces stared back at me But nothing ever changed Promises made in the heat of night Creepin' home before it got too light I wasted all that precious time And blamed it on the wine I was only joking, my dear Looking for a way to hide my fear What kind of fool was I? I could never win Never found a compromise Collected lovers like butterflies Illusions of that grand first prize Are slowly wearin' thin Susie, baby, you were good to me Giving love unselfishly But you took it all too seriously I guess it had to end I was only joking, my dear Looking for a way to hide my fear What kind of fool was I? I could never win Yeah, baby, woo! Now you ask me if I'm sincere That's the question that I always fear Verse seven is never clear But I'll tell you what you want to hear I try to give you all you want But giving love is not my strongest point If that's the case, it's pointless going on I'd rather be alone 'Cause what I'm doing must be wrong Pouring my heart out in a song Owning up for prosperity For the whole damn world to see Quietly now while I turn a page Act one is over without costume change The principal would like to leave the stage The crowd don't understand",1977,rock
"One Bourbon, One Scotch, One Beer",George Thorogood & The Destroyers,"Wanna tell you a story About the house-man blues I come home one Friday Had to tell the landlady I'd-a lost my job She said, ""That don't confront me Long as I get my money next Friday"" Now, next Friday come, I didn't get the rent And out the door I went So I goes to the landlady, I said, ""You let me slide?"" I'll have the rent for in a month the next I don't know"" So said, ""Let me slide it on"", you know, people I notice when I come home in the evening She ain't got nothing nice to say to me But for five year she was so nice, loh', she was lovey-dovey I come home one particular evening The landlady said, ""You got the rent money yet?"" I said, ""No, can't find no job"" Therefore I ain't got no money to pay the rent"" She said, ""I don't believe, you're tryin' to find no job"" Said, ""I seen you today, you were standin' on a corner Leaning up against a post"" I said ""But I'm tired, I've been walkin' all day"" She said, ""That don't confront me Long as I get my money next Friday"" Now, next Friday come, I didn't have the rent And out the door I went So I go down the streets Down to my good friend's house I said, ""Look man, I'm outdoors you know Can I stay with you maybe a couple of days?"" He said, ""Let me go and ask my wife"" He come out of the house I could see it in his face, I know that was no He said, ""I don't know man, ah she kinda funny, you know"" I said, ""I know, everybody funny, now, you funny too"" So I go back home I tell the landlady I got a job, I'm gonna pay the rent She said, ""Yeah?"", I said, ""Oh yeah"" And then she was so nice, loh' she was lovey-dovey So I go in my room, pack up my things and I go I slip on out the back door, down the streets I go She a-howlin' about the front rent She'll be lucky to get any back rent She ain't gonna get none of it So I stop in the local bar, you know, people I go to the bar, I ring my coat, I call the bartender Said, ""Look man, come down here"", he got down there ""So what you want?"" One bourbon, one scotch and one beer Well, I ain't seen my baby since I don't know when I've been drinking bourbon, whiskey, scotch and gin Gonna get high, man, I'm gonna get loose Need me a triple shot of that juice Gonna get drunk, don't you have no fear I want one bourbon, one scotch and one beer One bourbon, one scotch, one beer But I'm sitting now at the bar, I'm getting drunk, I'm feelin' mellow I'm drinkin' bourbon, I'm drinkin' scotch, I'm drinkin' beer Looked down the bar, here come the bartender I said, ""Look man, come down here"" ""So what you want?"" One bourbon and one scotch, one beer No, I ain't seen my baby since the night before last Gotta get a drink, man, I'm gonna get gassed Gonna get high, man, I ain't had enough Need me a triple shot of that stuff Gonna get drunk, won't you listen right here? I want one bourbon and one shot and one beer One bourbon and one scotch, one beer Well, alright Yeah, scratch my back baby Now, by this time I'm plenty high You know when your mouth a-getting dry, you're plenty high Looked down the bar, I say to my bartender I said, ""Look, man, come down here"", he got down there ""So what you want this time?"" I said, ""Look, man, a-what time is it?"" He said, ""The clock on the wall say three o'clock A last call for alcohol, so what you need?"" One bourbon and one scotch, one beer No, I ain't seen my baby since a nigh' and a week Gotta get drunk, man, till I can't even speak Gonna get high, man, listen to me One drink ain't enough, Jack, you better make it three Wanna get drunk, I'm gonna make it real clear I want one bourbon and one scotch and one beer One bourbon, one scotch, one beer",1977,rock
Solsbury Hill,Peter Gabriel,"Climbing up on Solsbury Hill I could see the city light Wind was blowing, time stood still Eagle flew out of the night He was something to observe Came in close, I heard a voice Standing stretching every nerve Had to listen, had no choice I did not believe the information I just had to trust imagination My heart going boom boom boom ""Son,"" he said ""Grab your things, I've come to take you home"" To keep in silence I resigned My friends would think I was a nut Turning water into wine Open doors would soon be shut So I went from day to day Though my life was in a rut'Til I thought of what I'd say Which connection I should cut I was feeling part of the scenery I walked right out of the machinery My heart going boom boom boom ""Hey,"" he said ""Grab your things, I've come to take you home""Ay, back home When illusion spin her net I'm never where I want to be And liberty she pirouette When I think that I am free Watched by empty silhouettes Who close their eyes but still can see No one taught them etiquette I will show another me Today I don't need a replacement I'll tell them what the smile on my face meant My heart going boom boom boom ""Hey"" I said ""You can keep my things, they've come to take me home""",1977,rock
Dust in the Wind,Kansas,"I close my eyes, only for a moment And the moment's gone All my dreams pass before my eyes, a curiosity Dust in the wind All they are is dust in the wind Same old song, just a drop of water In an endless sea All we do crumbles to the ground Though we refuse to see Dust in the wind All we are is dust in the wind Oh, ho, ho NA Now, don't hang on, nothing lasts forever but the earth and sky It slips away, and all your money won't another minute buy Dust in the wind All we are is dust in the wind (All we are is dust in the wind) Dust in the wind (Everything is dust in the wind) Everything is dust in the wind The wind I close my eyes, only for a moment And the moment's gone All my dreams pass before my eyes, a curiosity Dust in the wind All they are is dust in the wind Same old song, just a drop of water In an endless sea All we do crumbles to the ground Though we refuse to see Dust in the wind All we are is dust in the wind Oh, ho, ho NA Now, don't hang on, nothing lasts forever but the earth and sky It slips away, and all your money won't another minute buy Dust in the wind All we are is dust in the wind (All we are is dust in the wind) Dust in the wind (Everything is dust in the wind) Everything is dust in the wind The wind I close my eyes, only for a moment And the moment's gone All my dreams pass before my eyes, a curiosity Dust in the wind All they are is dust in the wind Same old song, just a drop of water In an endless sea All we do crumbles to the ground Though we refuse to see Dust in the wind All we are is dust in the wind Oh, ho, ho NA Now, don't hang on, nothing lasts forever but the earth and sky It slips away, and all your money won't another minute buy Dust in the wind All we are is dust in the wind (All we are is dust in the wind) Dust in the wind (Everything is dust in the wind) Everything is dust in the wind The wind",1977,rock
Heroes - 2017 Remaster,David Bowie,"I, I will be king And you, you will be queen Though nothing will drive them away We can beat them, just for one day We can be heroes, just for one day And you, you can be mean And I, I'll drink all the time 'Cause we're lovers, and that is a fact Yes, we're lovers, and that is that Though nothing will keep us together We could steal time, just for one day We can be heroes, forever and ever What d'you say? I, I wish you could swim Like the dolphins, like dolphins can swim Though nothing, nothing will keep us together We can beat them, forever and ever Oh, we can be heroes, just for one day I, I will be king And you, you will be queen Though nothing will drive them away We can be heroes, just for one day We can be us, just for one day I, I can remember (I remember) Standing, by the wall (By the wall) And the guns shot above our heads (Over our heads) And we kissed, as though nothing could fall (Nothing could fall) And the shame was on the other side Oh, we can beat them, forever and ever Then we could be heroes, just for one day We can be heroes We can be heroes We can be heroes, just for one day We can be heroes We're nothing, and nothing will help us Maybe we're lying, then you better not stay But we could be safer, just for one day Oh-oh-oh-oh, oh-oh-oh-oh, just for one day",1977,rock
Paradise By the Dashboard Light,Meat Loaf,"1. PARADISE BOY: Meat Loaf I remember every little thing as if it happened only yesterday Parking by the lake and there was not another car in sight And I never had a girl looking any better than you did And all the kids at school, they were wishing they were me that night And now our bodies are oh so close and tight It never felt so good, it never felt so right And we're glowing like the metal on the edge of a knife Glowing like the metal on the edge of a knife C'mon! Hold on tight! Well c'mon! Hold on tight! BOY and GIRL:Though it's cold and lonely in the deep dark night I can see paradise by the dashboard light GIRL: Ellen Foley Ain't no doubt about it, we were doubly blessed Cause we were barely seventeen and we were barely dressed Ain't no doubt about it, baby got to go and shout it Ain't no doubt about it, we were doubly blessed Cause we were barely seventeen and we were barely dressed BOY: Baby doncha hear my heart? You got it drowning out the radio I've been waiting so long for you to come along and have some fun And I gotta let you know, No you never gonna regret it So open up your eyes, I got a big surprise, it'll feel all right Well I wanna make your motor run And now our bodies are oh so close and tight It never felt so good, it never felt so right And we're glowing like the metal on the edge of a knife Glowing like the metal on the edge of a knife C'mon! Hold on tight! Well c'mon! Hold on tight! Though it's cold and lonely in the deep dark night I can see paradise by the dashboard light Though it's cold and lonely in the deep dark night Paradise by the dashboard light You got to do what you can And let Mother Nature do the rest Ain't no doubt about it We were doubly blessed Cause we were barely seventeen And we were barely- BOY and GIRL: We're gonna go all the way tonight We're gonna go all the way and tonight's the night We're gonna go all the way tonight We're gonna go all the way and tonight's the night We're gonna go all the way tonight We're gonna go all the way and tonight's the night We're gonna go all the way tonight We're gonna go all the way and tonight's the night RADIO BROADCAST: Phil Rizzuto OK, here we go, we got a real pressure cooker going here Two down, nobody on, no score, bottom of the ninth There's the windup, and there it is, a line shot up the middle Look at him go. This boy can really fly! He's rounding first and really Turning it on now, he's not letting up at all, he's gonna try for Second; the ball is bobbled out in center, and here comes the Throw, and what a throw! He's gonna slide in head first, here he Comes, he's out! No, wait, safe - safe at second base, this kid Really makes things happen out there. Batter steps up to the Plate, here's the pitch-he's going, and what a jump he's got He's trying for third, here's the throw, it's in the dirt-safe at Third! Holy cow, stolen base! He's taking a pretty big lead out There, almost daring him to try and pick him off. The pitcher Glances over, winds up, and it's bunted, bunted down the third Base line, the suicide squeeze is on! Here he comes, squeeze Play, it's gonna be close, here's the throw, here's the play at the plate Holy cow, I think he's gonna make it! II. LET ME SLEEP ON IT GIRL:Stop right there! I gotta know right now! Before we go any further! Do you love me? Will you love me forever? Do you need me? Will you never leave me? Will you make me so happy for the rest of my life? Will you take me away and will you make me your wife? Do you love me!? Will you love me forever!? Do you need me!? Will you never leave me!? Will you make me so  happy for the rest of my life!? Will you take me away and will you make me your wife!? I gotta know right now Before we go any further Do you love me!? Will you love me forever!? BOY:Let me sleep on it Baby, baby let me sleep on it Let me sleep on it I'll give you an answer in the morning Let me sleep on it Baby, baby let me sleep on it Let me sleep on it I'll give you an answer in the morning Let me sleep on it Baby, baby let me sleep on it Let me sleep on it I'll give you an answer in the morning GIRL: I gotta know right now Do you love me? Will you love me forever? Do you need me? Will you never leave me? Will you make me so happy for the rest of my life? Will you take me away and will you make me your wife? I gotta know right now! Before we go any further Do you love me? Will you love me forever? What's it gonna be boy? Come on, I can wait all night What's it gonna be boy? Yes or no? What's it gonna be boy? Yes or no? BOY:Let me sleep on it Baby, baby let me sleep on it Let me sleep on it I'll give you an answer in the morning I gotta know right now! Do you love me? Will you love me forever? Do you need me? Will you never leave me? Will you make me so happy for the rest of my life? Will you take me away and will you make me your wife? I gotta know right now Before we go any further Do you love me!? Will you love me forever!? Let me sleep on it GIRL: Will you love me forever? BOY: Let me sleep on it GIRL: Will you love me forever!!!! III. PRAYING FOR THE END OF TIMEI couldn't take it any longer Lord I was crazed And when the feeling came upon me Like a tidal wave Started swearing to my god and on my mother's grave That I would love you to the end of time I swore that I would love you to the end of time!So now I'm praying for the end of time To hurry up and arrive Cause if I gotta spend another minute with you I don't think that I can really survive I'll never break my promise or forget my vow But God only knows what I can do right now I'm praying for the end of time It's all that I can do Praying for the end of time So I can end my time with you!! BOY: It was long ago and it was far away And It was so much better that it is today It was long ago and it was far away And It was so much better that it is today It was long ago and it was far away And It was so much better that it is today It was long ago and it was far away And It was so much better that it is today It was long ago and it was far away And It was so much better that it is today It was long ago and it was far away And It was so much better that it is today It was long ago and it was far away And It was so much better that it is today GIRL:It never felt so good It never felt so right And we were glowing like A metal on the edge of a knife",1977,rock
Double Vision,Foreigner,"Feeling down 'n' dirty, feeling kinda mean I've been from one to another extreme It's time I had a good time, ain't got time to wait I wanna stick around 'till I can't see straight Fill my eyes with that double vision No disguise for that double vision Ooh, when it gets through to me, it's always new to me My double vision gets the best of me Never do more than I, I really need My mind is racing, but my body's in the lead Tonight's the night, I'm gonna push it to the limit I live all of my years in a single minute Fill my eyes with that double vision No disguise for that double vision Ooh, when it gets through to me, it's always new to me My double vision always seems to get the best of me, the best of me, yeah-eah eah-eah-hey Oh-ooh (oh) oh-oh, double vision (Oh) I need double vision (Oh, double vision) it takes me out of my head, taking me out of my head(Oh, double vision) I get my double vision, woa-oah (Oh, double vision) seeing double double, double vision (Oh, double vision) oh-oh my my double vision (Oh, double vision) double vision, yeah-ah-ah eah-eah eah-eah ah(Oh, double vision) I get double vision, oooh How, how? Feeling down 'n' dirty, feeling kinda mean I've been from one to another extreme It's time I had a good time, ain't got time to wait I wanna stick around 'till I can't see straight Fill my eyes with that double vision No disguise for that double vision Ooh, when it gets through to me, it's always new to me My double vision gets the best of me Never do more than I, I really need My mind is racing, but my body's in the lead Tonight's the night, I'm gonna push it to the limit I live all of my years in a single minute Fill my eyes with that double vision No disguise for that double vision Ooh, when it gets through to me, it's always new to me My double vision always seems to get the best of me, the best of me, yeah-eah eah-eah-hey Oh-ooh (oh) oh-oh, double vision (Oh) I need double vision (Oh, double vision) it takes me out of my head, taking me out of my head(Oh, double vision) I get my double vision, woa-oah (Oh, double vision) seeing double double, double vision (Oh, double vision) oh-oh my my double vision (Oh, double vision) double vision, yeah-ah-ah eah-eah eah-eah ah(Oh, double vision) I get double vision, oooh How, how?",1978,rock
You Send Me,Nicolette Larson,"Darling, you send me I know you send me Darling, you send me Honest you do, honest you do Honest you do, whoa You thrill me I know you, you, you thrill me Darling, you, you, you, you thrill me Honest you do At first I thought it was infatuation But, woo, it's lasted so long Now I find myself wanting To marry you and take you home, whoa You, you, you, you send me I know you send me I know you send me Honest you do Whoa-oh-oh, whenever I'm with you I know, I know, I know when I'm near you Mm hmm, mmm hmm, honest you do, honest you do Whoa-oh-oh, I know-oh-oh-oh I know, I know, I know, when you hold me Whoa, whenever you kiss me Mm hmm, mm hmm, honest you do At first I thought it was infatuation But, woo, it's lasted so long Now I find myself wanting To marry you and take you home I know, I know, I know you send me I know you send me Whoa, you, you, you, you send me Honest you do",1978,rock
Wheel in the Sky,Journey,"Winter is here again, oh lord Haven't been home in a year or more I hope she holds on a little longer Sent a letter on a long summer day Made of silver, not of clay Ooh, I've been running down this dusty road Ooh, the wheel in the sky keeps on turning I don't know where I'll be tomorrow Wheel in the sky keeps on turning I've been trying to make it home Got to make it before too long Ooh, I can't take this very much longer, no I'm standing in the sleet and rain Don't think I'm ever gonna make it home again The morning sun is rising It's kissing the day Ooh, the wheel in the sky keeps on turning I don't know where I'll be tomorrow Wheel in the sky keeps on turning Whoa, whoa, whoa My, my, my, my, my For Tomorrow NA Oh, the wheel in the sky keeps on turning Ooh, I don't know where I'll be tomorrow Wheel in the sky keeps me yearning Ooh, I don't know, I don't know, whoa Oh, the wheel in the sky keeps on turning Ooh, I don't know where I'll be tomorrow Wheel in the sky keeps on turning Ooh, I don't know, I don't know, I don't know, whoa Wheel in the sky keeps on turning Don't know where I'll be tomorrow Ooh, the wheel in the sky keeps turning Wheel in the sky keeps on turning",1978,rock
Metropolis - 2009 Remastered Version,Kraftwerk,Metropolis,1978,pop
Lotta Love,Nicolette Larson,It's gonna take a lotta love To change the way things are It's gonna take a lotta love Or we won't get too far So if you look in my direction And we don't see eye to eye My heart needs protection And so do I It's gonna take a lotta love To get us through the night It's gonna take a lotta love To make things work out right So if you are out there waiting I hope you show up soon You know I need relating not solitude Gotta lotta love Gotta lotta love It's gonna take a lotta love To change the way things are It's gonna take a lotta love Or we won`t get too far It's gonna take a lotta love It's gonna take a lotta love It's gonna take a lotta love,1978,rock
Long Live Rock N Roll,Rainbow,At the end of a dream If you know where I mean When the mist just starts to clear In a similar way At the end of today I could feel the sound of writing on the wall It cries for you It's the least that you can do Like a spiral on the wind I can hear it screamin' in my mind Long live rock and roll Long live rock 'n' roll Long live rock and roll In a different time When the words didn't rhyme You could never quite be sure Then on with the change It was simple but strange And you knew the feeling seemed to say it all It cries for you It's the least that you can do Like a spiral on the wind I can hear it screamin' in my mind Long live rock and roll Long live rock 'n' roll Long live rock and roll I'm losing control Long live rock and roll Long live rock 'n' roll Long live rock and roll If you suddenly see What has happened to me You should spread the word around And tell everyone here That it's perfectly clear They can sail above it all on what they've found It cries for you It's the best that you can do Like a sound that's everywhere I can hear it screaming through the air Long live rock and roll Long live rock 'n' roll Long live rock and roll Let it live Let it live Let it live Long live rock and roll Long live rock 'n' roll Long live rock and roll That is how I weight the perfect playing this Long live rock and roll Long live rock 'n' roll Long live rock and roll,1978,rock
Right Down the Line,Gerry Rafferty,"You know I need your love You've got that hold over me Long as I've got your love You know that I'll never leave When I wanted you to share my life I had no doubt in my mind And it's been you woman Right down the line I know how much I lean on you Only you can see The changes that I've been through Have left a mark on me You've been as constant as a Northern Star The brightest light that shines It's been you woman right down the line I just wanna say this is my way Of telling you everything I could never say before Yeah this is my way of telling you That every day I'm loving you so much more Cause you believed in me through my darkest night Put something better inside of me You brought me into the light Threw away all those crazy dreams I put them all behind And it was you woman Right down the line NA I just wanna say this is my way of telling you everything I could never say before Yeah this is my way of telling you Everything I could never say before Yeah this is my way of telling you That every day I'm loving you so much more If I should doubt myself, if I'm losing ground I won't turn to someone else They'd only let me down When I wanted you to share my life I had no doubt in my mind And it's been you woman Right down the line",1978,rock
What a Fool Believes,The Doobie Brothers,"He came from somewhere back in her long ago The sentimental fool don't see Tryin' hard to recreate What had yet to be created once in her life She musters a smile for his nostalgic tale Never coming near what he wanted to say Only to realize it never really was She had a place in his life He never made her think twice As he rises to her apology Anybody else would surely know He's watching her go But what a fool believes, he sees No wise man has the power to reason away What seems to be Is always better than nothing Than nothing at all Keeps sending him somewhere back in her long ago Where he can still believe there's a place in her life Someday, somewhere She will return She had a place in his life He never made her think twice As he rises to her apology Anybody else would surely know He's watching her go But what a fool believes, he sees No wise man has the power to reason away What seems to be Is always better than nothing Than nothing at all But what a fool believes, he sees No wise man has the power to reason away What seems to be Is always better than nothing Than nothing at all",1978,rock
Ghostbusters,"Ray Parker, Jr.","Ghostbusters!If there's something strange In your neighborhood Who you gonna call? Ghostbusters! If there's something weird And it don't look good Who you gonna call? Ghostbusters!I ain't 'fraid of no ghost I ain't 'fraid of no ghost If you're seeing things Running through your head Who can you call? Ghostbusters! An invisible man Sleepin' in your bed Ow, who you gonna call? Ghostbusters!I ain't 'fraid of no ghost I ain't 'fraid of no ghost Who you gonna call? Ghostbusters! If you're all alone Pick up the phone And call Ghostbusters! I ain't 'fraid of no ghost Ooh, I hear it likes the girls Hm, I ain't 'fraid of no ghost Yeah, yeah, yeah, yeah Who you gonna call? Ghostbusters! Mmm, if you've had a dose of a Freaky ghost, baby You better call Ghostbusters! Ow! Lemme tell ya something Bustin' makes me feel good! I ain't 'fraid of no ghost I ain't 'fraid of no ghost Don't get caught alone oh, no Ghostbusters! When it comes through your door Unless you just a-want some more I think you better call Ghostbusters!Ow! Who you gonna call? Ghostbusters! Who you gonna call? Ghostbusters! Uh, think you better call Ghostbusters! Ha ha, who you gonna call? Ghostbusters! I can't hear you Who you gonna call? Ghostbusters! Louder Ghostbusters! Who you gonna call? Ghostbusters! Who can you call? Ghostbusters! Who you gonna call? Ghostbusters! Uh, it likes the girls too Ghostbusters!",1978,rock
Stay Free - Remastered,The Clash,"We met when we were at school Never took no shit from no one, we weren't fools The teacher says we're dumb, we're only havin' fun You know we piss on everyone in the classroom When we got thrown out I left without much fuss And weekends we'd go dancin' down Streatham on the bus You always made me laugh, got me in bad fights Play me pool all night, smokin' menthols I practiced daily in my room You were down at Crown plannin' your next move Go on a nickin' spree, hit the wrong guy Each of you get three years in Brixton I did my very best to write How was Butlins? Were the screws too tight? When you lot get out were gonna hit the town We'll burn it fucking down to a cinder 'Cause years have passed and things have changed And I move anyway I want to go And I'll never forget the feelin' I got When I heard that you'd got home And I'll never forget the smile on my face 'Cause I knew where you would be And if you're in the Crown tonight have a drink on me But go easy Step lightly, yeah Stay free",1978,rock
Reminiscing - Remastered,Little River Band,"Friday night, it was late I was walking you home We got down to the gate And I was dreaming of the night Would it turn out right? How to tell you, girl I want to build my world around you Tell you that it's true I want to make you understand I'm talking about a lifetime plan That's the way it began We were hand-in-hand Glenn Miller's band Was better than before We yelled and screamed for more And the Porter tune (Night and Day) Made us dance across the room It ended all too soon On the way back home I promised you'd never be alone Hurry, don't be late I can hardly wait I said to myself when we're old We'll go dancing in the dark Walking through the park And reminiscing Friday night, it was late I was walking you home We got down to the gate And I was dreaming of the night Would it turn out right? Now as the years roll on Each time we hear our favorite song The memories come along Older times we're missing Spending the hours reminiscing Hurry, don't be late I can hardly wait I said to myself when we're old We'll go dancing in the dark Walking through the park And reminiscing Friday night, it was late I was walking you home We got down to the gate And I was dreaming of the night Would it turn out right? How to tell you, girl I want to build my world around you Tell you that it's true I want to make you understand I'm talking about a lifetime plan That's the way it began We were hand-in-hand Glenn Miller's band Was better than before We yelled and screamed for more And the Porter tune (Night and Day) Made us dance across the room It ended all too soon On the way back home I promised you'd never be alone Hurry, don't be late I can hardly wait I said to myself when we're old We'll go dancing in the dark Walking through the park And reminiscing Friday night, it was late I was walking you home We got down to the gate And I was dreaming of the night Would it turn out right? Now as the years roll on Each time we hear our favorite song The memories come along Older times we're missing Spending the hours reminiscing Hurry, don't be late I can hardly wait I said to myself when we're old We'll go dancing in the dark Walking through the park And reminiscing",1978,rock
Goodbye Girl,David Gates,"All your life you've waited For love to come and stay And now that I have found you You must not slip away I know it's hard believing The words you've heard before But darlin' you must trust them Just once more 'Cause baby, goodbye doesn't mean forever Let me tell you goodbye doesn't mean we'll never be together again If you wake up and I'm not there, I won't be long away 'Cause the things you do, my goodbye girl, will bring me back to you I know you've been taken Afraid to hurt again You fight the love you feel for me Instead of giving in But I can wait forever A-helping you to see That I was meant for you And you for me So remember goodbye doesn't mean forever Let me tell you goodbye doesn't mean we'll never be together again Though we may be so far apart you still will have my heart So forget your past, my goodbye girl 'Cause now you're home at last",1978,rock
How Much I Feel,Ambrosia,"I don't know how this whole business started Of you thinkin' that I had been untrue But if you think that we'd be better parted It's gonna hurt me but I'll break away from you Well, just give me the sign and I will be gone, yeah That's how much I feel feel for you, baby How much I need, I need your touch How much I live I live for your lovin' That's how much, that's how much That's how much, that's how much I sleep alone, and late at night I'm dreamin' Of the togetherness that seems to be leavin' me, oh no I'd give it all and then I'd give some more If you would only love me like you had before Take hold of my hand all will be forgiven So you try, try to stay in the middle And then you cry, well you cry just a little Then you both realize just how foolish you've been And you try to make amends but you're better off as friends Cause that's how much, that's how much That's how much, that's how much How's your life been goin' on? I've got a wife now years we've been goin' strong Oh no there's just something that I've got to say Sometimes when we make love I still can see your face Just try to recall when we were as one",1978,rock
Don't Stop Believin',Journey,"Just a small-town girl Livin' in a lonely world She took the midnight train goin' anywhere Just a city boy Born and raised in South Detroit He took the midnight train goin' anywhere NA A singer in a smoky room The smell of wine and cheap perfume For a smile, they can share the night It goes on and on and on and on Strangers waitin' Up and down the boulevard Their shadows searchin' in the night Streetlight people Livin' just to find emotion Hidin' somewhere in the night Workin' hard to get my fill Everybody wants a thrill Payin' anything to roll the dice just one more time Some will win, some will lose Some are born to sing the blues Oh, the movie never ends It goes on and on and on and on Strangers waitin' Up and down the boulevard Their shadows searchin' in the night Streetlight people Livin' just to find emotion Hidin' somewhere in the night NA Don't stop believin' Hold on to that feeling Streetlight people Don't stop believin' Hold on Streetlight people Don't stop believin' Hold on to that feeling Streetlight people",1978,rock
